noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall
ELPP_BASELINE,0,0.489911288022995,0.055222563445568085,3.162277936935425,3.0214891921787057e-07,1.778279423713684,5.358058885462924e-08,1.778279423713684,6.22550189177673e-08,,,,
ELPP_BASELINE,1,0.5333841443061829,0.05045673996210098,2.5118865966796875,1.8714897009886045e-07,1.5848934650421143,2.384185791015625e-07,1.5848934650421143,2.3569370455334138e-07,,,,
ELPP_BASELINE,2,0.5776267647743225,0.04533778503537178,1.9952623844146729,1.0444779974250196e-07,1.4125375747680664,3.594295350239918e-08,1.4125375747680664,3.594295350239918e-08,,,,
ELPP_BASELINE,3,0.6218913793563843,0.039997994899749756,1.5848934650421143,2.832685765952192e-07,1.258925437927246,6.22550189177673e-08,1.258925437927246,5.869459940299748e-08,,,,
ELPP_BASELINE,4,0.6653680801391602,0.034601952880620956,1.258925437927246,1.1980984204740253e-08,1.122018575668335,1.1920928955078125e-07,1.122018575668335,1.123915964740263e-07,,,,
ELPP_BASELINE,5,0.7072467803955078,0.0293293297290802,1.0,4.3198053134574366e-08,1.0,2.611194993562549e-08,1.0,3.112750945888365e-08,,,,
ELPP_BASELINE,6,0.7467867136001587,0.024352408945560455,0.7943281531333923,8.300669662730797e-08,0.8912509083747864,3.33536469554474e-08,0.8912509083747864,3.8357864440285994e-08,,,,
ELPP_BASELINE,7,0.7833783030509949,0.019814204424619675,0.6309574246406555,6.80389078411281e-08,0.7943281531333923,1.1460486604164544e-07,0.7943281531333923,1.1507359687357166e-07,,,,
ELPP_BASELINE,8,0.8165876865386963,0.01581263728439808,0.501187264919281,5.0476785418140935e-08,0.7079458236694336,5.0476785418140935e-08,0.7079458236694336,4.792393681896101e-08,,,,
ELPP_BASELINE,9,0.8461759090423584,0.012394237332046032,0.3981070816516876,9.124445909947099e-08,0.6309574842453003,1.2508515112585883e-07,0.6309574842453003,1.2436584029273945e-07,,,,
ELPP_BASELINE,10,0.8720918297767639,0.009557846002280712,0.3162277340888977,3.581793350804219e-08,0.5623412132263184,1.1738919880599497e-07,0.5623412132263184,1.1890787732227182e-07,,,,
ELPP_BASELINE,ALL,,,,,,,,,0.6964043974876404,1.2867320775985718,1.0675888061523438,1.0675888061523438
